text,text_clean
inikah pemimpin indonesia brwoiii rakyatmu sudah lelah brmau mimpin ya peduli dong,ini pimpin indonesia brwoiii rakyat lelah brmau mimpin peduli
ku kira berisi brternyata biji mati,kira isi brternyata biji mati
dangkal amat pemikiran nya begini ko dgn pd nya berasumsi seperti itu anda itu presiden loh kocak kocak,dangkal amat pikir begini kok asumsi anda presiden kocak kocak
memang susah yh kalo pejabatnya masih satu geng sama geng solo otaknya sudah pada keblinger,memang susah jabat masih satu geng sama geng solo otak keblinger
presiden kok oon,presiden kok oon
cem mane nie pleciden comentarnye,macam mane pleciden comentarnye
ya alllaaahhh manusia semua kah mereka,alllaaahhh manusia
gak pakai dollar tapi harga harga di desa pun ikut naikparah sih kalau ngomong,tidak pakai dollar harga harga desa naikparah omong
presiden lupa sama utang negara hrs bayar,presiden lupa sama utang negara harus bayar
saya menyesal memilih bapak,sesal pilih bapak
indonesia ini apes banget ya yang kemaren pembohong dan hanya mementingkan keluarga yang sekarang bodoh,indonesia apes banget kemarin bohong hanya penting keluarga sekarang bodoh
kebanyakan jogetbrotak jdi geser,banyak jogetbrotak geser
tetep penyanjung setia kumpul di sini,tetap sanjung setia kumpul
bukannya pejabat dam penguasa tambang yg simpan uang mereka untung dong yg rugikan masyarakat kecil di desa logikanya kan gitu pak presiden yg terhormat hati hati dengan orangorang munafik di sekitar mu,bukan jabat dam kuasa tambang simpan uang untung rugi masyarakat kecil desa logika bapak presiden hormat hati hati orangorang munafik sekitar
dmpak nya thd byk hal ga urusan nilai duit nya aja om,dmpak thd hal tidak urus nilai duit saja om
makan tuh oke gasbrbrbrbrpilihan siapa tuhgw gk milih dia sic,makan tuh gasbrbrbrbrpilihan tuhgw tidak pilih sic
sumpah nyesalnya aku yg prnh pilih dypadahal aku sdh bs nebak dlu gmn tabeat orgnya pas dy kalah pilpres sm pak jokowikl org pintar brpendidikanpunya hati gk akan brtingkah bgtu krn gk trima kalahnasi sdh jd bubur skrg nunggu mau ganti dy jg masih lama,sumpah nyesalnya pilih dypadahal nebak dulu bagaimana tabeat orgnya pas kalah pilpres sama bapak jokowikl pintar brpendidikanpunya hati tidak brtingkah tidak terima kalahnasi bubur sekarang tunggu mau ganti masih lama
barang yg di datangkan dr luar negeri pasti harganya makin mahal karena nilai rupiah rendahjelekbrjadi barang tsb di jual di dalam negeri pun pasti mahal harga nya jadi rakyat di kota maupun di desa semua pasti kena imbas nya brjadi pikiran nya jgn hanya sebatas yg suka ke luar negeri,barang datang luar negeri pasti harga makin mahal nilai rupiah rendahjelekbrjadi barang jual dalam negeri pasti mahal harga rakyat kota maupun desa pasti kena imbas brjadi pikir jangan hanya batas suka luar negeri
kata wowo,kata prabowo
demi allah saya menyesal sudah mendukung dan memilih prabowo jadi presiden,demi allah sesal dukung pilih prabowo presiden
presiden mcm apa lh ini rakyat ko di bilang bgtuu,presiden macam boleh rakyat kok bilang
by the way jadi president gak perlu pake otak ya serius nanya persaan gw yg bodoh aja tahu dari pelajaran smp dulu terkecuali kalu negara berdikari tanpa butuh suply barang atau sembako dari luar pertanyaan emg negara wowo ini sudah berdikari,by way president tidak perlu pakai otak serius tanya persaan bodoh saja tahu ajar sampai dulu kecuali negara berdikari tanpa butuh suply barang sembako luar tanya memang negara prabowo berdikari
imbasnya ke semua pak aduhhhh,imbas bapak aduhhhh
itu menandakan sistem pemerintahan indonesia yang lemah pejabat isinya tikus semua coba lah kim jong un suruh pimpin indonesia tahun aja pasti maju pesat,tanda sistem perintah indonesia lemah jabat isi tikus kim jong un suruh pimpin indonesia tahun saja pasti maju pesat
pemimpin ko begini,pimpin kok begini
memangnya negara belanja luar negrinya pakai rupiah pembayaran ayo jelaskan,memang negara belanja luar negrinya pakai rupiah bayar ayo jelas
goblokbeli minyak mentah pake dolardia kira kita di desa pake kuda,goblokbeli minyak mentah pakai dolardia kira desa pakai kuda
dulu pas jadi jendral di kopasuskalau dikirim perang dan dia jendralnyaaku yakin mati semua prajuritnya meski difasilitasi peralatan perang yg mumpuni sekalipun,dulu pas jenderal kopasuskalau kirim perang jendralnyaaku yakin mati prajurit meski fasilitas alat perang mumpuni sekalipun
presiden makin gak jelas,presiden makin tidak jelas
panikkarakter sombongnya mulai keluar,panikkarakter sombong mulai keluar
pinter banget yng milih ni orang,pintar banget pilih
alhamdulillah gk milih wowo,alhamdulillah tidak pilih prabowo
ndasmu cepot kui,ndasmu cepot kui
pemimpin paling parah menghina orang desa,pimpin paling parah hina desa
kok pemikiran ri kayak gini,kok pikir indonesia kayak begini
jangan bodoh amat dech pak jdi orangprasaan sebelumnya gak separah ini negara kitatapi dengan bpk mimpiin alhamdulillah indonesia hancur,jangan bodoh amat bapak orangprasaan belum tidak parah negara kitatapi bpk mimpiin alhamdulillah indonesia hancur
presiden ter gilamenghina rakyat yg ksih makan dan gaji presiden,presiden ter gilamenghina rakyat kasih makan gaji presiden
yg suka ke luar negeri kan elu wooobrbiaya perjalanan dinasmu jalan kluar negeri yg jadi bengkak kyk badan lo woooo,suka luar negeri wooobrbiaya jalan dinas jalan keluar negeri bengkak kayak badan woooo
kebangetan oon nya,banget oon
ditunggu pak tembus rb,tunggu bapak tembus ribu
omonnya semakin ngacauu,omonnya makin ngacauu
hahbukannya buat tenang malah buat kesel demo gas,hahbukannya buat tenang malah buat kesel demo gas
lah emang bener lahgw hidup bukan pake dollarhebat kali dollar itutaikkk sama pencinta dollarorang dungu,memang benar lahgw hidup bukan pakai dollarhebat kali dollar itutaikkk sama cinta dollarorang dungu
saya kasih nilai minus presiden tertolol sepanjang sejarah negaraku,kasih nilai minus presiden tolol panjang sejarah negara
ini presiden ko gini amat,presiden kok begini amat
ya rakyat mau dolar brapa terserah negara yang penting harga gak naik stabil itu aja pak mau dolar seratus ribu per dolar terserah yang pentinh harga gak mencekik rakyat,rakyat mau dolar berapa serah negara penting harga tidak naik stabil saja bapak mau dolar ratus ribu per dolar serah pentinh harga tidak cekik rakyat
bacotttt doang gede kerja nol,bacotttt doang gede kerja nol
wong tuek dadi presiden yo kaya ngono,wong tuek dadi presiden kayak ngono
pimpinan koplak,pimpin kocak
b l o on dasar omon omonalhamdulillah purn tniinsyaallah bisa milih presiden akal sehat saya akan memilih yg berakal sehat anies rb,on dasar omon omonalhamdulillah purn tniinsyaallah pilih presiden akal sehat pilih akal sehat anies ribu
sekelas presiden ngomong e wae asal jeplak,kelas presiden omong wae asal jeplak
presiden ri terpekok sepanjang sejarah penerusnya mulyono kok malah makin pekok,presiden indonesia kok panjang sejarah terus mulyono kok malah makin kok
cm bisa ngelus dada aku berat bgt cobaan,cuma ngelus dada berat banget coba
presiden tergeblek dlm sejarah indonesia,presiden geblek dalam sejarah indonesia
yang bodoh sebenarnya siapa sih yang di desa desa ini atau yang suka omon omon gemoy,bodoh benar desa desa suka omon omon gemoy
woiii otak mana otakk,woiii otak mana otakk
tapikan import pake dollar pak itu imbasnya ya ke harga di indonesia juga,tapi import pakai dollar bapak imbas harga indonesia
tuh prsiden bikinya kalian hebat kankalo ak dah tau lahak kalah tpi bngga,tuh prsiden bik kalian hebat kankalo tau lahak kalah bngga
sampeyan presiden ko omonge ngasal to pakemang klo bbm mahal itu bukan efek dari dolartambah pusing aku pak punya pemimpin ko ngenesalah pilih aku dulu,sampeyan presiden kok omonge ngasal pakemang bbm mahal bukan efek dolartambah pusing bapak punya pimpin kok ngenesalah pilih dulu
presiden kita sudah tahu kwalitasnya,presiden tahu kwalitasnya
mikir dikit napa,mikir dikit kenapa
saya juga tau dia ngomong gtuh karena ga becus nurunin dolar ngebukain aib kerjanya sendiri,tau omong tidak becus nurunin dolar ngebukain aib kerja sendiri
presiden yang tak pernah merasakan kesulitan rakyat kecil makanya ngomong nya nglantur kayak kentut brdollar naik dampak begitu nyata di masyarakat harga plastik saja kenaikannya antara brbelum harga yg lain,presiden tak rasa sulit rakyat kecil makanya omong nglantur kayak kentut brdollar naik dampak nyata masyarakat harga plastik saja naik antara brbelum harga lain
hanya di jaman pak harto nilai tukar dolar di angka waktu itu beli rokok garfit hanya perbungkus itupun di warung eceran bukan di grosir,hanya jaman bapak harto nilai tukar dolar angka waktu beli rokok garfit hanya bungkus itu warung ecer bukan grosir
aduh yaa allah brko ada presiden seperti ini brbukan solusi yg ditawarkan malah ngomong gini,aduh allah brko presiden brbukan solusi tawar malah omong begini
betul tapi barang naik dodol,betul barang naik dodol
pak presiden kita ga ngaruh dollar naik apa turun orang dia milyaderbryang salah yg milih dia bryang milih orang desa juga brjadi nikmati aja lah,bapak presiden tidak ngaruh dollar naik turun milyaderbryang salah pilih bryang pilih desa brjadi nikmat saja
dia jadi presiden hanya pengen pidato melawak unjuk kebodohan,presiden hanya pengin pidato lawak unjuk bodoh
ngomong apa ini org asbun,omong asbun
untung gw gk pilih,untung tidak pilih
lha kalian kemarin dikasih presiden anies pada gak mau,kalian kemarin kasih presiden anies tidak mau
hiduppp jokowiii salah satu contoh pemimpin yang saat berhadapan dengan microphone antara isi otakpemikiran tak singkron apa yg mau disampaikan lewat mulut,hidup jokowiii salah satu contoh pimpin saat hadap microphone antara isi otakpemikiran tak singkron mau sampai lewat mulut
dungunya gak ketulungan,dungu tidak ketulungan
kenapa harus yang di desa yang di bahas yang perludi bahas itu pola pikir yang ngomong itu perlu di rawat inap,kenapa harus desa bahas perludi bahas pola pikir omong perlu rawat inap
ini hal paling lucu dan goblok yg saya dengar dari seorang presiden,hal paling lucu goblok dengar orang presiden
ternyata lebih parah dr yg kemarin y,nyata lebih parah kemarin
pemimpin kalo dah koplak gk ada solusi,pimpin kocak tidak solusi
siapa yg pilih tuuh sok nikmati aja,pilih tuh sok nikmat saja
kalo didesa pake dolaar dikira edan bosmikir bospertalite naik bayare yo g pake dolaraneh anda ini,desa pakai dolaar kira edan bosmikir bospertalite naik bayare tidak pakai dolaraneh anda
pemimpinya sendiri suka ke luar negri,mimpi sendiri suka luar negeri
aduh ko bisa begini orang pilihan gw nyoblos maaf ya bro gw slaah milih ko bisa prabowo ngomong begitu desa skrg beda dgn dulu bro prabowo smua udah make barang impor smua prabowo kaya bukan presiden ya yg keren cerdas gitu kalau lagi pidato hadapi dolar bicarannya tekhnis aja hadapi dolar bukan meremehkan bahkan malah ledekin pengusahaa aneh pemgusaha malah yg santai tinggal naikan aja mreka mah bahan bakunya k rakyat simpel,aduh kok begini pilih nyoblos maaf slaah pilih kok prabowo omong desa sekarang beda dulu prabowo pakai barang impor prabowo kayak bukan presiden keren cerdas pidato hadap dolar bicarannya tekhnis saja hadap dolar bukan remeh bahkan malah ledek pengusahaa aneh pemgusaha malah santai tinggal naik saja mah bahan baku rakyat simpel
ketika sebuah negara di serahkan kepada lansia dan anak yg belum dewasa,ketika buah negara serah kepada lansia anak belum dewasa
apakah beliau menggap rakyat indonesia sebodoh itukah makanya beliau berucap seperti itu,apakah beliau gap rakyat indonesia bodoh itu makanya beliau ucap
yg pusing bpk yg selalu keluar negri sayangnya bpk pakai uang apbn jdi gak terasa,pusing bpk selalu keluar negeri sayang bpk pakai uang apbn tidak asa
ga salah kalo pak anis ngasih nilai ke pak prabowo waktu debat capresbrko begini pemikiran presiden dolar naik efek nya segala sesuatu bisa naik yg ada bisa krismon lagibrmungkin bner waktu pak prabowo mengatakan tahun negara kita akan pecah mungkin pecahnya karna beliau mungkinbr,tidak salah bapak anis asih nilai bapak prabowo waktu debat capresbrko begini pikir presiden dolar naik efek segala sesuatu naik krismon lagibrmungkin benar waktu bapak prabowo kata tahun negara pecah mungkin pecah beliau mungkinbr
modolar berapa ribu mbg tetap jalan,modolar berapa ribu mbak tetap jalan
lagi gejolak jiwailmunya dan ilang,gejolak jiwailmunya hilang
apa sihhh norakkkk amatttt tapi eluuu presidenn aduhhh wakandaaa,norakkkk amatttt eluuu presidenn aduh wakandaaa
yg suka ke luar negeri mana pusing wowo itu pake duit rakyattttttttttt,suka luar negeri mana pusing prabowo pakai duit rakyattttttttttt
ni yang sering penasaran dajjal bentuknya gimana kurang lebih kyk gitu,sering penasaran dajjal bentuk bagaimana kurang lebih kayak
betul pak,betul bapak
lucu juga prabowo kaya tesi srimulat,lucu prabowo kayak tes srimulat
malu kita punya presiden terlalu bodoh,malu punya presiden terlalu bodoh
kok semakin parah aja ini negara indonesia,kok makin parah saja negara indonesia
aneh juga sama bapa ini rupiah lemah otomatis harga bahan pokok otomatis naik amp kita secara otomatis kena inflasi payah,aneh sama bapa rupiah lemah otomatis harga bahan pokok otomatis naik cara otomatis kena inflasi payah
yapengaruhjendralsekolah lagi j lah,yapengaruhjendralsekolah saja
dari sini saya baru tau ternyata dia gak bisa kerja,baru tau nyata tidak kerja
pidato yg gilakau pikir rakyatmu bodoh sangat memalukan,pidato gilakau pikir rakyat bodoh sangat malu
mmpus dlu yg milih di jogetin kan kalian sekarang,mmpus dulu pilih joget kalian sekarang
gini amat punya presiden pantes dulu di copot sama almarhum bj habibie,begini amat punya presiden pantas dulu copot sama almarhum bj habibie
odgj dikasih panggung ya bgini,odgj kasih panggung begini
lage sigam puko,lage sigam puko
pintarnya diluar nalar bapak ini,pintar luar nalar bapak
kalau masih mengandalkan impor mau bayar pakai apakalau masih mengandalkan impor bagaimana caranya rupiah jangan sampai anjlokkecuali indonesia jarang menggunakan impor dari luar baru statmen begitukalau impor apapun dari cuma hasil hutangsemua pejabat di indonesia ternyata gak punya otak,masih andal impor mau bayar pakai apakalau masih andal impor bagaimana cara rupiah jangan sampai anjlokkecuali indonesia jarang guna impor luar baru statmen begitukalau impor apa cuma hasil hutangsemua jabat indonesia nyata tidak punya otak
tak bisa berkata apaapa,tak kata apaapa
innalillahi wainnailaihi rojiun,innalillahi wainnailaihi rojiun
ayo kita gulingkan presiden ini dan dpr jadi wakil rakyatbrtp tidak memikirkan rakyatbrbrkita mau diam sampai kapan,ayo guling presiden dpr wakil rakyatbrtp tidak pikir rakyatbrbrkita mau diam sampai kapan
presiden paling ter tolol di indonesia brini orang bonekanya jokowi lihat aja nanti blm smpe udh hancur negara kita,presiden paling ter tolol indonesia brini boneka jokowi lihat saja nanti belum sampai hancur negara
ngomong ky g pke otak,omong kaya tidak pakai otak
baru presiden ri kaya begini bodoh nya kebangetan,baru presiden indonesia kayak begini bodoh banget
efek punya wakil dungu ketularan sampai presiden,efek punya wakil dungu tular sampai presiden
tetap ada dampaknyalah pak,tetap dampak bapak
pidato yg merendahkan akal dan intelektual,pidato rendah akal intelektual
dari cara ngomong nya aja udah ketahuan sedang panik dan lg berusaha menutupi kegagalan dan kedunguan nya,cara omong saja tahu panik usaha tutup gagal dungu
tamatlah sudah alkisah kami,tamat alkisah
jogetin aja,joget saja
gas ping kg aja udah naik ributadinya sekarang jadi ribu ga ngaruh gimana to mbah mbahaku dikampung lohngawur tenan,gas ping kg saja naik ributadinya sekarang ribu tidak ngaruh bagaimana mbah mbahaku kampung lohngawur tenan
ga bis angurus negara pakai alasan aja dolar di kampung ga pakai dolar emang ita tapi harga barang semua karena dolar jadi harga jadi naik jadi pengaruh dampai kenpelosok negeri,tidak bis angurus negara pakai alas saja dolar kampung tidak pakai dolar memang ita harga barang dolar harga naik pengaruh dampai kenpelosok negeri
dia yg suka keluar negeri pake pajak rakyat dancook wo wo,suka keluar negeri pakai pajak rakyat dancook wo wo
dolar naik itu artinya bahan poko ikut naik sampe sini paham,dolar naik arti bahan pokok naik sampai paham
orgil mah bebas manusia yg gak berguna dan gak bermanfaat sama skali anjing menggongong kafilah berlalu,orgil mah bebas manusia tidak guna tidak manfaat sama sekali anjing menggongong kafilah lalu
menutup fakta dan mengajarkan pembodohan,tutup fakta ajar bodoh
heran sama kepala negarabrpunya kepala tapi ga ada isinya,heran sama kepala negarabrpunya kepala tidak isi
aduh gmn yak,aduh bagaimana
statemen utk menutupi kegagalan dan kebodohannya,statemen tutup gagal bodoh
sy bersyukur karna tak memilih presiden yg amat tolol sprti diabrsetahu sy yg bnyak pilih dia adlh orang desabrgiliran kondisinya sdh sprti ini orang desa yg di anggap bodoh krna dia anggap orang desa gak tau dampak dari rupiah yg melemah,syukur tak pilih presiden amat tolol diabrsetahu pilih desabrgiliran kondisi desa anggap bodoh anggap desa tidak tau dampak rupiah lemah
prabowo mencoba menormalkan kerusakan yang dia lakukan,prabowo coba normal rusa laku
pala mu lolot,kepala lolot
waduh waduh waduh masa iya ini pk presidenya,waduh waduh waduh masa pakai presidenya
truly deserve quotthe worst indonesian president in historyquot statement ngaco anti kritik dan bodoh,truly deserve quotthe worst indonesian president historyquot statement aco anti kritik bodoh
udah pak selesai aja udah udah masih lama yaaa,bapak selesai saja masih lama
ya alloh ya robbi kuatkanlah hati rkyat iniia seakan tmngrti prsaan rkyatnya dgn bicara dgn sgt mudh bginya,allah robbi kuat hati rkyat iniia akan tmngrti prsaan rkyatnya bicara sangat mudh bginya
waduhhhkenapa dollar kalo ga ngaruhkenapa dollar naik bahan pokok ikut naiktingkat daya beli masyarakat pun menurunberarti ngaruh dong,waduhhhkenapa dollar tidak ngaruhkenapa dollar naik bahan pokok naiktingkat daya beli masyarakat menurunberarti ngaruh
maaf pak rakyat mikirin nasib negara juga pak kita butuh rupiah lebih banyak untuk import sesuatu dengan usd pak,maaf bapak rakyat pikir nasib negara bapak butuh rupiah lebih import sesuatu usd bapak
pemimpin dengan pemikiran yg sangat minim,pimpin pikir sangat minim
di desa desa emang harga harga di kota beda sma yg di desa,desa desa memang harga harga kota beda sama desa
akhirnya diberikan petunjuk kalo prabowo subianto gak ngerti jadi pemimpin cuk,akhir beri tunjuk prabowo subianto tidak erti pimpin cuk
perasaan siwowo ini yg suka kunker keluar negri tapi gak berasa la dia karna pake uang negara,asa siwowo suka kunker keluar negeri tidak asa pakai uang negara
antek asing klo omon gak pakai otak,antek asing omon tidak pakai otak
tempe dari kedelai kedelainya import mamarika importnya bayar pake rupiah,tempe kedelai kedelai import mamarika importnya bayar pakai rupiah
oh otak otak,otak otak
turunkan lah harga kebutuhan nasional tuh pak kan,turun harga butuh nasional tuh bapak
dasar presiden omon omon pernyataan nya pintar atau bodoh ya kebutuhan pokok membuat tempat impor bahan plastik impor koq gak mikir kesitu,dasar presiden omon omon nyata pintar bodoh butuh pokok buat tempat impor bahan plastik impor kok tidak mikir kesitu
benar kata pak anis menilai beliau dari,benar kata bapak anis nilai beliau
hutang negara pakai dollar gak pak kalau rupiah terus melemah gimana caranya negara ini bayar hutang dan bunganyabrbrcontoh hutang negara setara dengan rp milliar pada tahun dan sekarang menjadi rp milliar bunga yang biasanya harus dibayar milliar pertahun kini menjadi milliar pertahun itu hanya contoh nominal kecil sajabrbrselain itu para pengusaha di bidang industri anda kira tidak menggunakan dollar untuk melakukan impor bahan mentah dan seluruh perusahaan bumn tidak menggunakan dollarbrbritu pertamina beli minyak mentah dan gas mentah pake apa kalau bukan dollarbrbrmelemahnya rupiah akan membuat semua barang di indonesia akan menjadi mahal dan saya sudah ingatkan dari tahun bahwa indonesia akan terjadi krisis moneter dalam waktu dekatbrbrpurbaya jangan rakyat kira dia cocok menjadi menkeu dan kalian puja puji dia hanya pintar berbicara sama seperti tuannyabrbryang dibutuhkan negara ini adalah tindakan nyata bukan teoribrbrsaya pastikan indonesia krisis moneter dalam waktu dekat dan rupiah melemah sesuai prediksi saya awal tahun di angka rp per dollar as,hutang negara pakai dollar tidak bapak rupiah terus lemah bagaimana cara negara bayar hutang bunganyabrbrcontoh hutang negara tara rp milliar tahun sekarang rp milliar bunga biasa harus bayar milliar tahun kini milliar tahun hanya contoh nominal kecil sajabrbrselain para usaha bidang industri anda kira tidak guna dollar laku impor bahan mentah seluruh usaha bumn tidak guna dollarbrbritu pertamina beli minyak mentah gas mentah pakai bukan dollarbrbrmelemahnya rupiah buat barang indonesia mahal ingat tahun bahwa indonesia jadi krisis moneter dalam waktu dekatbrbrpurbaya jangan rakyat kira cocok menkeu kalian puja puji hanya pintar bicara sama tuannyabrbryang butuh negara tindak nyata bukan teoribrbrsaya pasti indonesia krisis moneter dalam waktu dekat rupiah lemah sesuai prediksi awal tahun angka rp per dollar as
didesa masi pakai daun singkong pak tuk gulai ikan salai,desa masih pakai daun singkong bapak gulai ikan salai
yg nyoblos kena dampak nya ga,nyoblos kena dampak tidak
semua pke dolar kocak gemoy dolar mahal minyak naik semua naik,pakai dolar kocak gemoy dolar mahal minyak naik naik
lah bapak sendiri pusing gak ya kan bapak suka ke luar negeri juga nah itu gimana tu,bapak sendiri pusing tidak bapak suka luar negeri bagaimana
oon dobol,oon dobol
p wowo gmn,prabowo bagaimana
aduh presiden kok bisa ngomong bgini ya,aduh presiden kok omong begini
kalau umur segitu emang lagi luculucunya sih ya kembali ke anak kecil sifatnya,umur segitu memang luculucunya kembali anak kecil sifat
walaupun gak pakai dolar kan pakai rupiah pak prabowo,walaupun tidak pakai dolar pakai rupiah bapak prabowo
di desa ga pake dolar tapi harga pada naik mampus lo,desa tidak pakai dolar harga naik mampus
tapi mempengaruhi ekonomi pakmundur aja rakyat uda g simpati sama sampeyan,pengaruh ekonomi pakmundur saja rakyat tidak simpati sama sampeyan
viral kn omongan presiden ini,viral omong presiden
lah pantes d bodoin bawahannya mulu hadehh,pantas bodoin bawah mulu hadehh
presiden linglung,presiden linglung
kalo sumberdaya alam dijual gak pake dolar bumn pln dll sparepart bener bener dari dalam negeri tidak impor kenaikan harga seimbang dengan pendapatan rakyat terus utang negara di lunasi uang pribadi pak presiden boleh ucap kayak gitubrpak presiden mohon untuk lebih bijak dalam berkatakata,sumberdaya alam jual tidak pakai dolar bumn pln dll sparepart benar benar dalam negeri tidak impor naik harga imbang dapat rakyat terus utang negara lunas uang pribadi bapak presiden boleh ucap kayak gitubrpak presiden mohon lebih bijak dalam berkatakata
jangan berharap lebih pada nie orang idolanya aja mostafa kemal attatord,jangan harap lebih idola saja mostafa kemal attatord
lebih parah dari wiwi,lebih parah wiwi
tanda kiamat sudah dekat orang bodoh di jadikan pemimpin,tanda kiamat dekat bodoh jadi pimpin
presiden tidak pakai gay,presiden tidak pakai gay
ketawa aje de ah untung gue kaga milih die,ketawa saja untung kagak pilih die
bukan itu bowo dolar naik trus secara akan merubah harga barang cerdas dikitlah,bukan bowo dolar naik terus cara rubah harga barang cerdas dikit
udah kita diam aja nih ga ada yang mau gerak,diam saja tidak mau gerak
keliatan kualitas nya dari omongan nya,lihat kualitas omong
wooy bowo goblok coba pikir lagi deehh,wooy bowo goblok pikir deehh
hadech woquot,hadech woquot
bihhh cangkeme prabowo,bihhh cangkeme prabowo
kau pikir klo dollar naik sembako kita ga ikut naik heran saya sama bapak kita,kau pikir dollar naik sembako tidak naik heran sama bapak
pak presiden ini otak nya perlu di terapi karena pikirannya sdh banyak ngawur,bapak presiden otak perlu terapi pikir ngawur
barang impor ngga pake dolar org desa sekarang ngga bodo amat,barang impor tidak pakai dolar desa sekarang tidak bodo amat
udah ga habis pikir gw ini sama jalan pikiran nya,tidak habis pikir sama jalan pikir
pemimpin bodoh lahir dari pemilih yang bodoh jugaini lah diabrbisa ny ngomong seperti itukayak indonesia ini sudah mandiri aja dalam segala bidang,pimpin bodoh lahir pilih bodoh jugaini diabrbisa omong itukayak indonesia mandiri saja dalam segala bidang
benar apa kata prabowo,benar kata prabowo
otak ny gak nyampek,otak tidak nyampek
umur segitu memang sudah waktunya,umur segitu memang waktu
kamu si tukang omon omon nggedabrus yang suka ke luar negeri ngapain aja kamu di luar negeri mbah,tukang omon omon nggedabrus suka luar negeri kapai saja luar negeri mbah
hadeh pusing saya presiden aja pemikiran nya ke gitu,pusing presiden saja pikir
ya betul lahbryg tu yg orang kayabryg auka ngabiskan unang negara,betul lahbryg kayabryg auka ngabiskan unang negara
pejabat korupsirakyat di salah kansdh pikun ini org,jabat korupsirakyat salah kansdh pikun
gak paham saya org ini ngomong apa,tidak paham omong
ealah cah kui wis pernah mangan sekolah opo ora toow,ealah cah kui wis mangan sekolah opo ora toow
harga pangan pada naik pak penghasilan turun derastis itu sudah pasti karna dolar naik,harga pangan naik bapak hasil turun derastis pasti dolar naik
nyesel pernah pilih prabowo,sesal pilih prabowo
semakin tolol kau dollar,makin tolol kau dollar
nilai dari terbukti sudah,nilai bukti
woyy kan lu yang suka ke luar negeri,woyy suka luar negeri
lah anda keluar negri mulu,anda keluar negeri mulu
laaaahhhhhhhh kegemoy an nih org,laaaahhhhhhhh kegemoy
wooooo woooobrtolol,wooooo woooobrtolol
kalau kita produktif dan tidak tergantung impor ya bisa bapak masalahnya bahan baku kita masih impor bapak,produktif tidak gantung impor bapak masalah bahan baku masih impor bapak
kanapa dlu nyoblos ini,kenapa dulu nyoblos
ngomong aja lu,omong saja
yg bodoh siapsih semoga pemimpin berikutnya tidak seperti ini,bodoh siapsih moga pimpin ikut tidak
otak nya agak lain,otak agak lain
presiden ku stres,presiden stres
apakah ini efek rakyat salah pilih pemimpin,apakah efek rakyat salah pilih pimpin
ya rakyat didesa emang ga pakai dolar uey paktetap pakai rupia tapi kebutuhan hidup naik ikutin dolargmana juga ni pemimpin mikirnya,rakyat desa memang tidak pakai dolar uey paktetap pakai rupia butuh hidup naik ikut dolargmana pimpin mikirnya
sumpah goblok bngtnpemikirannya woii pak kami sudah mrasakan inflasinya rb kyk gk ada harganya,sumpah goblok bngtnpemikirannya woii bapak mrasakan inflasi ribu kayak tidak harga
warga negara indonesia yang ada di desa desa dianggap bodohpripun sampean pakjelas dampak akan dirasakankpye pak pak,warga negara indonesia desa desa anggap bodohpripun sampean pakjelas dampak dirasakankpye bapak bapak
asal ngomong aja ini presiden yg tak terhormat,asal omong saja presiden tak hormat
iya benar di desa ku kirim surat masih pakai elang guys kirim barang pakai babi,benar desa kirim surat masih pakai elang guys kirim barang pakai babi
pidato orang yg gak bisa memajukan indonesia iya kayak ginibela diripadahal kerja nya zonkomon omon aja bacot mulu,pidato tidak maju indonesia kayak ginibela diripadahal kerja zonkomon omon saja bacot mulu
hanya satu kata untuk si wowo brotaq zoaq,hanya satu kata prabowo brotaq zoaq
bpk mendem tuak,bpk mendem tuak
tapikan pak harga ngikutin dolar,tapi bapak harga ikut dolar
sekelas presiden ngomong begini memalukan pak,kelas presiden omong begini malu bapak
bedebah ini pemikiran si pikun,bedebah pikir pikun
barusan ngobrol sma istri duit belanja sekarang cepat habis pak,barusan obrol sama istri duit belanja sekarang cepat habis bapak
yg jelas akan berdampak buruk kerakyat kecil karena semuanya akan mahal semuanya presiden omonnya kaya gitu dipikirnya masyarakat ga tau dampak dollar makin naik,jelas dampak buruk rakyat kecil semua mahal semua presiden omonnya kayak pikir masyarakat tidak tau dampak dollar makin naik
gedabruse tok janji janji di lupakan begitu saja nyesel dulu nyoblos hadehhh rakyat semakin menderita,gedabruse tok janji janji lupa saja sesal dulu nyoblos hadehhh rakyat makin derita
terserah paakk mau ngomong opowis ora ta runguu se karepmu,serah paakk mau omong opowis ora runguu se karepmu
gols banget kalo wowo lagi stand up comedy,gols banget prabowo stand up comedy
indonesia smakin nglanturrr,indonesia makin nglanturrr
waduuuhhhh ko president analisa nya koyo ngene otak nya beku apa yaa,waduuuhhhh kok president analisa koyo ngene otak beku
iki sopo sihbrkoq buwodho banget,iki sopo sihbrkoq buwodho banget
ya alloh kalo mindset orang no begini hancur negara ini,allah mindset no begini hancur negara
terlalu menganggap remeh imbasnye ke desa bisanye cuma joget doang sih,terlalu anggap remeh imbasnye desa bisanye cuma joget doang
yang suruh dia pidato lagi siapaa woyyyybetah amat kuping lu dengar orang ini ngomong,suruh pidato woyyyybetah amat kuping dengar omong
cap opo si omon ini ancurrrr ancurrr,cap opo omon ancurrrr hancur
ini bukang king lips of service lagi ini kang obat yg ngejual nya nipu nipu,bukang king lips of service kang obat ngejual nipu nipu
presidet terkocak,presidet kocak
